activo,subcategoria,categoría,tecnologia
Mobile WiMAX (IEEE 802.16e),WWAN (Wireless Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
2G,Celular WWAN (Wireless Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
3G,Celular WWAN (Wireless Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
4G,Celular WWAN (Wireless Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
5G,Celular WWAN (Wireless Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
Red GSM,Celular WWAN (Wireless Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
NB-IoT,LPWAN (Low-Power Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
LoRa,LPWAN (Low-Power Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
LTE-M,LPWAN (Low-Power Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
Arduino Uno,Sistemas Embebidos,Sistemas de Control de Procesos Discretos,OT (Tecnologías Operativas)
Arduino Mega,Sistemas Embebidos,Sistemas de Control de Procesos Discretos,OT (Tecnologías Operativas)
Arduino Nano,Sistemas Embebidos,Sistemas de Control de Procesos Discretos,OT (Tecnologías Operativas)
Arduino Leonardo,Sistemas Embebidos,Sistemas de Control de Procesos Discretos,OT (Tecnologías Operativas)
ESP32,Sistemas Embebidos,Sistemas de Control de Procesos Discretos,OT (Tecnologías Operativas)
ESP8266,Sistemas Embebidos,Sistemas de Control de Procesos Discretos,OT (Tecnologías Operativas)
EnOcean,LPWAN (Low-Power Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
SGIFOX,LPWAN (Low-Power Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
WHDI (Wireless Home Digital Interface),High-Rate WPAN (Wireless Personal Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
6LoWPAN,Low-Rate WPAN (Wireless Personal Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
Zigbee RF4CE,LPWAN (Low-Power Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
Lonworks (Local Operating Network ISO/IEC 14908),WAN (Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
CEBus (Consumer Electronics Bus),PAN (Personal Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
UPB (Universal Powerline Bus),PAN (Personal Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
GPS (Global Positioning System),RNSS (Servicio de RadioNavegación por Satélite),Tecnologías de radiodeterminación,CT (Tecnologías de comunicación)
IrDA (Infrared Data Association),PAN (Personal Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
Django,Servidor web,#N/A,#N/A
Node.js,Servidor web,#N/A,#N/A
IBM Watson® Machine Learning,AI for PaaS,Computación en la nube,IT (Tecnologías de la Información)
Caché ARP,Tecnologías de red,Tecnologías de red,CT (Tecnologías de comunicación)
